Name,Path,Type,Category,SizeBytes,LastModified,Valid
ColorBlindPalette,Assets/Resources/Configs/ColorBlindPalette.asset,ColorBlindPaletteAsset,Config,1464,22 Tem 09:12,True
EconomyConfig,Assets/Resources/Configs/EconomyConfig.asset,EconomyConfigAsset,Config,672,22 Tem 09:12,True
EventTemplate_CollectionFrenzy,Assets/Resources/Configs/EventTemplate_CollectionFrenzy.asset,VehicleSkinConfig,Config,1100,25 Tem 12:35,True
EventTemplate_RushHour,Assets/Resources/Configs/EventTemplate_RushHour.asset,VehicleSkinConfig,Config,1002,25 Tem 12:34,True
EventTemplate_StarRace,Assets/Resources/Configs/EventTemplate_StarRace.asset,VehicleSkinConfig,Config,1189,25 Tem 12:35,True
GameConfig,Assets/Resources/Configs/GameConfig.asset,GameConfig,Config,2937,25 Tem 21:20,True
LevelCatalog,Assets/Resources/Configs/LevelCatalog.asset,LevelCatalogAsset,Config,44762,25 Tem 21:42,True
Phase1_Levels1-12,Assets/Resources/Configs/Phase1_Levels1-12.asset,PhaseDefinitionAsset,Config,752,25 Tem 15:11,True
Phase2_Levels13-28,Assets/Resources/Configs/Phase2_Levels13-28.asset,PhaseDefinitionAsset,Config,754,25 Tem 15:11,True
Phase3_Levels29-45,Assets/Resources/Configs/Phase3_Levels29-45.asset,PhaseDefinitionAsset,Config,754,25 Tem 15:11,True
Phase4_Levels46-60,Assets/Resources/Configs/Phase4_Levels46-60.asset,PhaseDefinitionAsset,Config,755,25 Tem 15:11,True
PhaseConfig,Assets/Resources/Configs/PhaseConfig.asset,PhaseConfigAsset,Config,754,25 Tem 15:40,True
StopSkin_CandyLand,Assets/Resources/Configs/Skins/StopSkin_CandyLand.asset,VehicleSkinConfig,Config,618,25 Tem 12:06,True
StopSkin_CandyShop,Assets/Resources/Configs/Skins/StopSkin_CandyShop.asset,VehicleSkinConfig,Config,617,25 Tem 12:05,True
StopSkin_CrystalCave,Assets/Resources/Configs/Skins/StopSkin_CrystalCave.asset,VehicleSkinConfig,Config,624,25 Tem 12:08,True
StopSkin_CyberCity,Assets/Resources/Configs/Skins/StopSkin_CyberCity.asset,VehicleSkinConfig,Config,618,25 Tem 12:07,True
StopSkin_EnchantedForest,Assets/Resources/Configs/Skins/StopSkin_EnchantedForest.asset,VehicleSkinConfig,Config,636,25 Tem 12:06,True
StopSkin_FuturisticCity,Assets/Resources/Configs/Skins/StopSkin_FuturisticCity.asset,VehicleSkinConfig,Config,633,25 Tem 12:06,True
StopSkin_MedievalCastle,Assets/Resources/Configs/Skins/StopSkin_MedievalCastle.asset,VehicleSkinConfig,Config,633,25 Tem 12:05,True
StopSkin_NeonCity,Assets/Resources/Configs/Skins/StopSkin_NeonCity.asset,VehicleSkinConfig,Config,615,25 Tem 12:06,True
StopSkin_PastelPark,Assets/Resources/Configs/Skins/StopSkin_PastelPark.asset,VehicleSkinConfig,Config,620,25 Tem 12:04,True
StopSkin_SpaceStation,Assets/Resources/Configs/Skins/StopSkin_SpaceStation.asset,VehicleSkinConfig,Config,627,25 Tem 12:05,True
