key,en,tr,es,de,fr,it,pt,ru,ja,ko,zh,ar,he,hi,id
app_name,Pixel Flow 3D,Pixel Flow 3D,Pixel Flow 3D,Pixel Flow 3D,Pixel Flow 3D,Pixel Flow 3D,Pixel Flow 3D,Pixel Flow 3D,Pixel Flow 3D,Pixel Flow 3D,Pixel Flow 3D,Pixel Flow 3D,Pixel Flow 3D,Pixel Flow 3D,Pixel Flow 3D
btn_undo,Undo,Geri Al,Deshacer,Rückgängig,Annuler,Annulla,Desfazer,Отмена,元に戻す,실행 취소,撤销,تراجع,ביטול,वापस लें,Balkan
notif_d1_title,Daily Reward Ready!,Günlük Ödül Hazır!,¡Recompensa diaria lista!,Tägliche Belohnung bereit!,Récompense quotidienne prête!,Ricompensa giornaliera pronta!,Recompensa diária pronta!,Ежедневная награда готова!,毎日の報酬準備完了!,일일 보상 준비 완료!,每日奖励已准备好!,المكافأة اليومية جاهزة!,פרס יומי מוכן!,दैनिक पुरस्कार तैयार!,Hadiah Harian Siap!
notif_d1_body,New vehicles and challenges are waiting for you!,Yeni araçlar ve görevler seni bekliyor!,¡Nuevos vehículos y desafíos te esperan!,Neue Fahrzeuge und Herausforderungen warten auf dich!,De nouveaux véhicules et défis vous attendent!,Nuovi veicoli e sfide ti aspettano!,Novos veículos e desafios esperam por você!,Новые автомобили и испытания ждут вас!,新しい車両とチャレンジがあなたを待っています!,새로운 차량과 도전 과제가 여러분을 기다리고 있습니다!,新的车辆和挑战等待着你!,مركبات وتحديات جديدة بانتظارك!,כלי רכב ואתגרים חדשים מחכים לך!,नए वाहन और चुनौतियाँ आपका इंतज़ार कर रही हैं!,Kendaraan dan tantangan baru menunggumu!
notif_d2_title,Rush Hour Event!,Rush Hour Etkinliği!,¡Evento Rush Hour!,Rush Hour Event!,Événement Heure de Pointe!,Evento Rush Hour!,Evento Rush Hour!,Событие Час Пик!,ラッシュアワーイベント!,러시 아ワー 이벤트!,高峰期活动!,حدث ساعة الذروة!,אירוע שעת השיא!,रश आवर इवेंट!,Acara Rush Hour!
notif_d2_body,Earn 2x coins now!,Şimdi 2x coin kazan!,¡Gana el doble de monedas ahora!,Verdiene jetzt 2x Münzen!,Gagnez 2x de pièces maintenant!,Guadagna 2x monete ora!,Ganhe 2x moedas agora!,Заработайте в 2 раза больше монет прямо сейчас!,今すぐ2倍のコインを獲得!,지금 2배 코인을 받으세요!,立即赚取2倍金币!,احصل على ضعف العملات الآن!,הרווח פי 2 מטבעות עכשיו!,अभी 2 गुना सिक्के कमाएं!,Dapatkan 2x koin sekarang!
hub_coin_format,Coins: {0},Coin: {0},Monedas: {0},Münzen: {0},Pièces: {0},Monete: {0},Moedas: {0},Монеты: {0},コイン: {0},코인: {0},金币: {0},عملات: {0},מטבעות: {0},सिक्के: {0},Koin: {0}
hub_play_level_format,LEVEL {0},SEVİYE {0},NIVEL {0},LEVEL {0},NIVEAU {0},LIVELLO {0},NÍVEL {0},УРОВЕНЬ {0},レベル {0},레벨 {0},关卡 {0},المستوى {0},שלב {0},स्तर {0},LEVEL {0}
crash_toast_msg,Crash! Vehicles collided!,Kaza! Araçlar çarpıştı!,¡Colisión! ¡Vehículos chocaron!,Kollision! Fahrzeuge sind zusammengestoßen!,Collision! Les véhicules se sont percutés!,Collisione! I veicoli si sono scontrati!,Colisão! Veículos colidiram!,Столкновение! Транспортные средства столкнулись!,衝突！車両が衝突しました！,충돌! 차량이 충돌했습니다!,碰撞！车辆相撞！,تصادم! تصادمت المركبات!,התנגשות! כלי הרכב התנגשו!,टक्कर! वाहन आपस में टकरा गए!,Tabrakan! Kendaraan bertabrakan!
intersection_warning_toast_msg,Intersection! Viaduct needed!,Kesişme! Viyadük gerekiyor!,¡Intersección! ¡Se necesita viaducto!,Kreuzung! Viadukt erforderlich!,Intersection ! Viaduc nécessaire !,Intersezione! Serve un viadotto!,Interseção! Viaduto necessário!,Пересечение! Нужен виадук!,交差点！高架橋が必要です！,교차로! 고가교 필요!,交叉口！需要高架桥！,تقاطع! يلزم وجود جسر!,הצטלבות! נדרש ויאדוקט!,चौराहा! वायाडक्ट आवश्यक!,Persimpangan! Butuh viaduk!
